site;code insee;période;heure;zone;comptage - entrées
Rennes les champs libres;35238;04/01/2013;13:00;RdC champs libres, rdc 4;65
Rennes les champs libres;35238;04/01/2013;13:00;RdC champs libres, rdc retour;9
Rennes les champs libres;35238;04/01/2013;13:00;RdC vie du citoyen, rdc vie du citoyen;83
Rennes les champs libres;35238;04/01/2013;14:00;1er étage vie du citoyen, 1er etage vie du citoyen;28
Rennes les champs libres;35238;04/01/2013;14:00;RdC champs libres, rdc 2;7
Rennes les champs libres;35238;04/01/2013;14:00;RdC champs libres, rdc 3;324
Rennes les champs libres;35238;04/01/2013;14:00;RdC champs libres, rdc 4;99
Rennes les champs libres;35238;04/01/2013;14:00;RdC champs libres, rdc retour;25
Rennes les champs libres;35238;04/01/2013;14:00;RdC vie du citoyen, rdc vie du citoyen;113
Rennes les champs libres;35238;04/01/2013;15:00;1er étage vie du citoyen, 1er etage vie du citoyen;24
Rennes les champs libres;35238;04/01/2013;15:00;RdC champs libres, rdc 2;12
Rennes les champs libres;35238;04/01/2013;15:00;RdC champs libres, rdc 3;360
Rennes les champs libres;35238;04/01/2013;15:00;RdC champs libres, rdc 4;107
Rennes les champs libres;35238;04/01/2013;15:00;RdC champs libres, rdc retour;29
Rennes les champs libres;35238;04/01/2013;15:00;RdC vie du citoyen, rdc vie du citoyen;141
Rennes les champs libres;35238;04/01/2013;16:00;1er étage vie du citoyen, 1er etage vie du citoyen;35
Rennes les champs libres;35238;04/01/2013;16:00;RdC champs libres, rdc 2;6
Rennes les champs libres;35238;04/01/2013;16:00;RdC champs libres, rdc 3;331
Rennes les champs libres;35238;04/01/2013;16:00;RdC champs libres, rdc 4;111
Rennes les champs libres;35238;04/01/2013;16:00;RdC champs libres, rdc retour;34
Rennes les champs libres;35238;04/01/2013;16:00;RdC vie du citoyen, rdc vie du citoyen;143
Rennes les champs libres;35238;04/01/2013;17:00;1er étage vie du citoyen, 1er etage vie du citoyen;18
Rennes les champs libres;35238;04/01/2013;17:00;RdC champs libres, rdc 2;11
Rennes les champs libres;35238;04/01/2013;17:00;RdC champs libres, rdc 3;307
Rennes les champs libres;35238;04/01/2013;17:00;RdC champs libres, rdc 4;90
Rennes les champs libres;35238;04/01/2013;17:00;RdC champs libres, rdc retour;25
Rennes les champs libres;35238;04/01/2013;17:00;RdC vie du citoyen, rdc vie du citoyen;109
Rennes les champs libres;35238;04/01/2013;18:00;1er étage vie du citoyen, 1er etage vie du citoyen;6
Rennes les champs libres;35238;04/01/2013;18:00;RdC champs libres, rdc 2;5
Rennes les champs libres;35238;04/01/2013;18:00;RdC champs libres, rdc 3;144
Rennes les champs libres;35238;04/01/2013;18:00;RdC champs libres, rdc 4;53
Rennes les champs libres;35238;04/01/2013;18:00;RdC champs libres, rdc retour;18
Rennes les champs libres;35238;04/01/2013;18:00;RdC vie du citoyen, rdc vie du citoyen;56
Rennes les champs libres;35238;05/01/2013;14:00;1er étage vie du citoyen, 1er etage vie du citoyen;46
Rennes les champs libres;35238;05/01/2013;14:00;RdC champs libres, rdc 2;8
Rennes les champs libres;35238;05/01/2013;14:00;RdC champs libres, rdc 3;452
Rennes les champs libres;35238;05/01/2013;14:00;RdC champs libres, rdc 4;92
Rennes les champs libres;35238;05/01/2013;14:00;RdC champs libres, rdc retour;20
Rennes les champs libres;35238;05/01/2013;14:00;RdC vie du citoyen, rdc vie du citoyen;151
Rennes les champs libres;35238;05/01/2013;15:00;1er étage vie du citoyen, 1er etage vie du citoyen;24
Rennes les champs libres;35238;05/01/2013;15:00;RdC champs libres, rdc 2;17
Rennes les champs libres;35238;05/01/2013;15:00;RdC champs libres, rdc 3;407
Rennes les champs libres;35238;05/01/2013;15:00;RdC champs libres, rdc 4;120
Rennes les champs libres;35238;05/01/2013;15:00;RdC champs libres, rdc retour;26
Rennes les champs libres;35238;05/01/2013;15:00;RdC vie du citoyen, rdc vie du citoyen;127
Rennes les champs libres;35238;05/01/2013;16:00;1er étage vie du citoyen, 1er etage vie du citoyen;35
Rennes les champs libres;35238;05/01/2013;16:00;RdC champs libres, rdc 2;5
Rennes les champs libres;35238;05/01/2013;16:00;RdC champs libres, rdc 3;393
Rennes les champs libres;35238;05/01/2013;16:00;RdC champs libres, rdc 4;138
Rennes les champs libres;35238;05/01/2013;16:00;RdC champs libres, rdc retour;32
Rennes les champs libres;35238;05/01/2013;16:00;RdC vie du citoyen, rdc vie du citoyen;150
Rennes les champs libres;35238;05/01/2013;17:00;1er étage vie du citoyen, 1er etage vie du citoyen;27
Rennes les champs libres;35238;05/01/2013;17:00;RdC champs libres, rdc 2;10
Rennes les champs libres;35238;05/01/2013;17:00;RdC champs libres, rdc 3;338
Rennes les champs libres;35238;05/01/2013;17:00;RdC champs libres, rdc 4;106
Rennes les champs libres;35238;05/01/2013;17:00;RdC champs libres, rdc retour;43
Rennes les champs libres;35238;05/01/2013;17:00;RdC vie du citoyen, rdc vie du citoyen;133
Rennes les champs libres;35238;05/01/2013;18:00;1er étage vie du citoyen, 1er etage vie du citoyen;16
Rennes les champs libres;35238;05/01/2013;18:00;RdC champs libres, rdc 2;15
Rennes les champs libres;35238;05/01/2013;18:00;RdC champs libres, rdc 3;150
Rennes les champs libres;35238;05/01/2013;18:00;RdC champs libres, rdc 4;54
Rennes les champs libres;35238;05/01/2013;18:00;RdC champs libres, rdc retour;17
Rennes les champs libres;35238;05/01/2013;18:00;RdC vie du citoyen, rdc vie du citoyen;67
Rennes les champs libres;35238;06/01/2013;14:00;1er étage vie du citoyen, 1er etage vie du citoyen;6
Rennes les champs libres;35238;06/01/2013;14:00;RdC champs libres, rdc 2;10
Rennes les champs libres;35238;06/01/2013;14:00;RdC champs libres, rdc 3;600
Rennes les champs libres;35238;06/01/2013;14:00;RdC champs libres, rdc 4;147
Rennes les champs libres;35238;06/01/2013;14:00;RdC champs libres, rdc retour;24
Rennes les champs libres;35238;06/01/2013;14:00;RdC vie du citoyen, rdc vie du citoyen;209
Rennes les champs libres;35238;06/01/2013;15:00;1er étage vie du citoyen, 1er etage vie du citoyen;32
Rennes les champs libres;35238;06/01/2013;15:00;RdC champs libres, rdc 2;22
Rennes les champs libres;35238;06/01/2013;15:00;RdC champs libres, rdc 3;539
Rennes les champs libres;35238;06/01/2013;15:00;RdC champs libres, rdc 4;179
Rennes les champs libres;35238;06/01/2013;15:00;RdC champs libres, rdc retour;23
Rennes les champs libres;35238;06/01/2013;15:00;RdC vie du citoyen, rdc vie du citoyen;201
Rennes les champs libres;35238;06/01/2013;16:00;1er étage vie du citoyen, 1er etage vie du citoyen;56
Rennes les champs libres;35238;06/01/2013;16:00;RdC champs libres, rdc 2;49
Rennes les champs libres;35238;06/01/2013;16:00;RdC champs libres, rdc 3;510
Rennes les champs libres;35238;06/01/2013;16:00;RdC champs libres, rdc 4;259
Rennes les champs libres;35238;06/01/2013;16:00;RdC champs libres, rdc retour;56
Rennes les champs libres;35238;06/01/2013;16:00;RdC vie du citoyen, rdc vie du citoyen;169
Rennes les champs libres;35238;06/01/2013;17:00;1er étage vie du citoyen, 1er etage vie du citoyen;54
Rennes les champs libres;35238;06/01/2013;17:00;RdC champs libres, rdc 2;35
Rennes les champs libres;35238;06/01/2013;17:00;RdC champs libres, rdc 3;555
Rennes les champs libres;35238;06/01/2013;17:00;RdC champs libres, rdc 4;295
Rennes les champs libres;35238;06/01/2013;17:00;RdC champs libres, rdc retour;36
Rennes les champs libres;35238;06/01/2013;17:00;RdC vie du citoyen, rdc vie du citoyen;143
Rennes les champs libres;35238;06/01/2013;18:00;1er étage vie du citoyen, 1er etage vie du citoyen;44
Rennes les champs libres;35238;06/01/2013;18:00;RdC champs libres, rdc 2;26
Rennes les champs libres;35238;06/01/2013;18:00;RdC champs libres, rdc 3;222
Rennes les champs libres;35238;06/01/2013;18:00;RdC champs libres, rdc 4;139
Rennes les champs libres;35238;06/01/2013;18:00;RdC champs libres, rdc retour;13
Rennes les champs libres;35238;06/01/2013;18:00;RdC vie du citoyen, rdc vie du citoyen;84
Rennes les champs libres;35238;08/01/2013;12:00;1er étage vie du citoyen, 1er etage vie du citoyen;7
Rennes les champs libres;35238;08/01/2013;12:00;RdC champs libres, rdc 2;2
Rennes les champs libres;35238;08/01/2013;12:00;RdC champs libres, rdc 3;197
Rennes les champs libres;35238;08/01/2013;12:00;RdC champs libres, rdc 4;53
Rennes les champs libres;35238;08/01/2013;12:00;RdC champs libres, rdc retour;13
Rennes les champs libres;35238;08/01/2013;12:00;RdC vie du citoyen, rdc vie du citoyen;55
Rennes les champs libres;35238;08/01/2013;13:00;1er étage vie du citoyen, 1er etage vie du citoyen;12
Rennes les champs libres;35238;08/01/2013;13:00;RdC champs libres, rdc 2;3
Rennes les champs libres;35238;08/01/2013;13:00;RdC champs libres, rdc 3;224
Rennes les champs libres;35238;08/01/2013;13:00;RdC champs libres, rdc 4;47
Rennes les champs libres;35238;08/01/2013;13:00;RdC champs libres, rdc retour;11
Rennes les champs libres;35238;08/01/2013;13:00;RdC vie du citoyen, rdc vie du citoyen;64
Rennes les champs libres;35238;08/01/2013;14:00;1er étage vie du citoyen, 1er etage vie du citoyen;16
Rennes les champs libres;35238;08/01/2013;14:00;RdC champs libres, rdc 2;4
Rennes les champs libres;35238;08/01/2013;14:00;RdC champs libres, rdc 3;238
Rennes les champs libres;35238;08/01/2013;14:00;RdC champs libres, rdc 4;55
Rennes les champs libres;35238;08/01/2013;14:00;RdC champs libres, rdc retour;14
Rennes les champs libres;35238;08/01/2013;14:00;RdC vie du citoyen, rdc vie du citoyen;94
Rennes les champs libres;35238;08/01/2013;15:00;1er étage vie du citoyen, 1er etage vie du citoyen;20
Rennes les champs libres;35238;08/01/2013;15:00;RdC champs libres, rdc 2;6
Rennes les champs libres;35238;08/01/2013;15:00;RdC champs libres, rdc 3;295
Rennes les champs libres;35238;08/01/2013;15:00;RdC champs libres, rdc 4;62
Rennes les champs libres;35238;08/01/2013;15:00;RdC champs libres, rdc retour;23
Rennes les champs libres;35238;08/01/2013;15:00;RdC vie du citoyen, rdc vie du citoyen;94
Rennes les champs libres;35238;08/01/2013;16:00;1er étage vie du citoyen, 1er etage vie du citoyen;15
Rennes les champs libres;35238;08/01/2013;16:00;RdC champs libres, rdc 2;10
Rennes les champs libres;35238;08/01/2013;16:00;RdC champs libres, rdc 3;228
Rennes les champs libres;35238;08/01/2013;16:00;RdC champs libres, rdc 4;76
Rennes les champs libres;35238;08/01/2013;16:00;RdC champs libres, rdc retour;20
Rennes les champs libres;35238;08/01/2013;16:00;RdC vie du citoyen, rdc vie du citoyen;99
Rennes les champs libres;35238;08/01/2013;17:00;1er étage vie du citoyen, 1er etage vie du citoyen;20
Rennes les champs libres;35238;08/01/2013;17:00;RdC champs libres, rdc 2;9
Rennes les champs libres;35238;08/01/2013;17:00;RdC champs libres, rdc 3;255
Rennes les champs libres;35238;08/01/2013;17:00;RdC champs libres, rdc 4;73
Rennes les champs libres;35238;08/01/2013;17:00;RdC champs libres, rdc retour;18
Rennes les champs libres;35238;08/01/2013;17:00;RdC vie du citoyen, rdc vie du citoyen;95
Rennes les champs libres;35238;08/01/2013;18:00;1er étage vie du citoyen, 1er etage vie du citoyen;11
Rennes les champs libres;35238;08/01/2013;18:00;RdC champs libres, rdc 2;3
Rennes les champs libres;35238;08/01/2013;18:00;RdC champs libres, rdc 3;213
Rennes les champs libres;35238;08/01/2013;18:00;RdC champs libres, rdc 4;60
Rennes les champs libres;35238;08/01/2013;18:00;RdC champs libres, rdc retour;10
Rennes les champs libres;35238;08/01/2013;18:00;RdC vie du citoyen, rdc vie du citoyen;49
Rennes les champs libres;35238;08/01/2013;19:00;1er étage vie du citoyen, 1er etage vie du citoyen;17
Rennes les champs libres;35238;08/01/2013;19:00;RdC champs libres, rdc 2;4
Rennes les champs libres;35238;08/01/2013;19:00;RdC champs libres, rdc 3;136
Rennes les champs libres;35238;08/01/2013;19:00;RdC champs libres, rdc 4;28
Rennes les champs libres;35238;08/01/2013;19:00;RdC champs libres, rdc retour;3
Rennes les champs libres;35238;08/01/2013;19:00;RdC vie du citoyen, rdc vie du citoyen;40
Rennes les champs libres;35238;08/01/2013;20:00;1er étage vie du citoyen, 1er etage vie du citoyen;4
Rennes les champs libres;35238;08/01/2013;20:00;RdC champs libres, rdc 2;6
Rennes les champs libres;35238;08/01/2013;20:00;RdC champs libres, rdc 3;15
Rennes les champs libres;35238;08/01/2013;20:00;RdC champs libres, rdc 4;8
Rennes les champs libres;35238;08/01/2013;20:00;RdC champs libres, rdc retour;3
Rennes les champs libres;35238;08/01/2013;20:00;RdC vie du citoyen, rdc vie du citoyen;18
Rennes les champs libres;35238;09/01/2013;12:00;1er étage vie du citoyen, 1er etage vie du citoyen;4
Rennes les champs libres;35238;09/01/2013;12:00;RdC champs libres, rdc 2;3
Rennes les champs libres;35238;09/01/2013;12:00;RdC champs libres, rdc 3;153
Rennes les champs libres;35238;09/01/2013;12:00;RdC champs libres, rdc 4;52
Rennes les champs libres;35238;09/01/2013;12:00;RdC champs libres, rdc retour;18
Rennes les champs libres;35238;09/01/2013;12:00;RdC vie du citoyen, rdc vie du citoyen;59
Rennes les champs libres;35238;09/01/2013;13:00;1er étage vie du citoyen, 1er etage vie du citoyen;14
Rennes les champs libres;35238;09/01/2013;13:00;RdC champs libres, rdc 2;4
Rennes les champs libres;35238;09/01/2013;13:00;RdC champs libres, rdc 3;209
Rennes les champs libres;35238;09/01/2013;13:00;RdC champs libres, rdc 4;61
Rennes les champs libres;35238;09/01/2013;13:00;RdC champs libres, rdc retour;8
Rennes les champs libres;35238;09/01/2013;13:00;RdC vie du citoyen, rdc vie du citoyen;67
Rennes les champs libres;35238;09/01/2013;14:00;1er étage vie du citoyen, 1er etage vie du citoyen;10
Rennes les champs libres;35238;09/01/2013;14:00;RdC champs libres, rdc 2;2
Rennes les champs libres;35238;09/01/2013;14:00;RdC champs libres, rdc 3;251
Rennes les champs libres;35238;09/01/2013;14:00;RdC champs libres, rdc 4;72
Rennes les champs libres;35238;09/01/2013;14:00;RdC champs libres, rdc retour;8
Rennes les champs libres;35238;09/01/2013;14:00;RdC vie du citoyen, rdc vie du citoyen;78
Rennes les champs libres;35238;09/01/2013;15:00;1er étage vie du citoyen, 1er etage vie du citoyen;13
Rennes les champs libres;35238;09/01/2013;15:00;RdC champs libres, rdc 2;8
Rennes les champs libres;35238;09/01/2013;15:00;RdC champs libres, rdc 3;287
Rennes les champs libres;35238;09/01/2013;15:00;RdC champs libres, rdc 4;78
Rennes les champs libres;35238;09/01/2013;15:00;RdC champs libres, rdc retour;20
Rennes les champs libres;35238;09/01/2013;15:00;RdC vie du citoyen, rdc vie du citoyen;108
Rennes les champs libres;35238;09/01/2013;16:00;1er étage vie du citoyen, 1er etage vie du citoyen;11
Rennes les champs libres;35238;09/01/2013;16:00;RdC champs libres, rdc 2;6
Rennes les champs libres;35238;09/01/2013;16:00;RdC champs libres, rdc 3;283
Rennes les champs libres;35238;09/01/2013;16:00;RdC champs libres, rdc 4;67
Rennes les champs libres;35238;09/01/2013;16:00;RdC champs libres, rdc retour;37
Rennes les champs libres;35238;09/01/2013;16:00;RdC vie du citoyen, rdc vie du citoyen;101
Rennes les champs libres;35238;09/01/2013;17:00;1er étage vie du citoyen, 1er etage vie du citoyen;8
Rennes les champs libres;35238;09/01/2013;17:00;RdC champs libres, rdc 2;5
Rennes les champs libres;35238;09/01/2013;17:00;RdC champs libres, rdc 3;182
Rennes les champs libres;35238;09/01/2013;17:00;RdC champs libres, rdc 4;47
Rennes les champs libres;35238;09/01/2013;17:00;RdC champs libres, rdc retour;9
Rennes les champs libres;35238;09/01/2013;17:00;RdC vie du citoyen, rdc vie du citoyen;70
Rennes les champs libres;35238;09/01/2013;18:00;1er étage vie du citoyen, 1er etage vie du citoyen;5
Rennes les champs libres;35238;09/01/2013;18:00;RdC champs libres, rdc 2;8
Rennes les champs libres;35238;09/01/2013;18:00;RdC champs libres, rdc 3;130
Rennes les champs libres;35238;09/01/2013;18:00;RdC champs libres, rdc 4;30
Rennes les champs libres;35238;09/01/2013;18:00;RdC champs libres, rdc retour;7
Rennes les champs libres;35238;09/01/2013;18:00;RdC vie du citoyen, rdc vie du citoyen;31
Rennes les champs libres;35238;10/01/2013;12:00;1er étage vie du citoyen, 1er etage vie du citoyen;5
Rennes les champs libres;35238;10/01/2013;12:00;RdC champs libres, rdc 2;1
Rennes les champs libres;35238;10/01/2013;12:00;RdC champs libres, rdc 3;132
Rennes les champs libres;35238;10/01/2013;12:00;RdC champs libres, rdc 4;36
Rennes les champs libres;35238;10/01/2013;12:00;RdC champs libres, rdc retour;14
Rennes les champs libres;35238;10/01/2013;12:00;RdC vie du citoyen, rdc vie du citoyen;68
Rennes les champs libres;35238;10/01/2013;13:00;1er étage vie du citoyen, 1er etage vie du citoyen;15
Rennes les champs libres;35238;10/01/2013;13:00;RdC champs libres, rdc 2;8
Rennes les champs libres;35238;10/01/2013;13:00;RdC champs libres, rdc 3;142
Rennes les champs libres;35238;10/01/2013;13:00;RdC champs libres, rdc 4;47
Rennes les champs libres;35238;10/01/2013;13:00;RdC champs libres, rdc retour;9
Rennes les champs libres;35238;10/01/2013;13:00;RdC vie du citoyen, rdc vie du citoyen;63
Rennes les champs libres;35238;10/01/2013;14:00;1er étage vie du citoyen, 1er etage vie du citoyen;10
Rennes les champs libres;35238;10/01/2013;14:00;RdC champs libres, rdc 2;4
Rennes les champs libres;35238;10/01/2013;14:00;RdC champs libres, rdc 3;176
Rennes les champs libres;35238;10/01/2013;14:00;RdC champs libres, rdc 4;51
Rennes les champs libres;35238;10/01/2013;14:00;RdC champs libres, rdc retour;16
Rennes les champs libres;35238;10/01/2013;14:00;RdC vie du citoyen, rdc vie du citoyen;76
Rennes les champs libres;35238;10/01/2013;15:00;1er étage vie du citoyen, 1er etage vie du citoyen;14
Rennes les champs libres;35238;10/01/2013;15:00;RdC champs libres, rdc 2;10
Rennes les champs libres;35238;10/01/2013;15:00;RdC champs libres, rdc 3;163
