climate_11h,climate_14h,climate_17h,date,max_temperature,min_temperature,sunny_time
,,,2013-07-08,29.8,16.2,14
Très nuageux,,Eclaircies,2013-08-08,25.5,13.8,5
,Très nuageux,Très nuageux,2013-09-08,21.2,5.0,8
,Eclaircies,Eclaircies,2013-10-08,20.7,11.0,7
,,,2013-08-13,22.3,8.8,10
,,,2013-08-14,25.3,9.6,9
Très nuageux,Très nuageux,Très nuageux,2013-08-16,23.0,11.8,2
Très nuageux,Très nuageux,Très nuageux,2013-08-17,25.5,15.3,5
Très nuageux,Très nuageux,,2013-08-18,26.7,17.7,5
,,,2013-08-20,24.9,9.2,13
,,,2013-08-21,27.7,10.6,11
,,,2013-08-22,29.5,12.1,12
Très nuageux,,Très nuageux,2013-08-23,30.9,12.7,9
Très nuageux,Très nuageux,Très nuageux,2013-08-24,20.0,15.2,2
Très nuageux,,Eclaircies,2013-08-25,21.8,12.0,4
,,,2013-08-27,24.8,15.0,11
,,,2013-08-28,24.9,11.4,10
,,,2013-08-29,25.3,9.5,12
,,Eclaircies,2013-08-30,25.9,10.4,9
Très nuageux,Très nuageux,Très nuageux,2013-08-31,21.0,16.1,1
,,Très nuageux,2013-01-09,9.9,5.5,0
Bancs de brouillard,Très nuageux,,2013-03-09,15.4,5.2,5
Très nuageux,Très nuageux,Très nuageux,2013-04-09,15.4,6.1,3
Très nuageux,,,2013-05-09,16.5,5.3,8
Très nuageux,Très nuageux,Très nuageux,2013-06-09,15.8,11.8,0
,,,2013-07-09,29.8,14.1,14
Très nuageux,Eclaircies,,2013-08-09,24.5,15.1,6
Très nuageux,Très nuageux,Très nuageux,2013-10-09,19.1,9.8,4
Bruine,,,2013-11-09,14.5,5.1,4
,,,2013-12-09,7.5,4.9,7
Très nuageux,Très nuageux,Très nuageux,2013-09-13,21.5,16.0,1
Bruine,Très nuageux,,2013-09-14,16.9,12.4,2
,Très nuageux,Eclaircies,2013-09-15,19.9,8.1,7
Très nuageux,Très nuageux,Très nuageux,2013-09-17,20.5,10.7,0
Très nuageux,Très nuageux,Très nuageux,2013-09-18,18.9,15.2,1
Très nuageux,Très nuageux,Très nuageux,2013-09-19,18.2,8.6,3
Très nuageux,,,2013-09-20,20.7,12.0,7
,,Très nuageux,2013-09-21,25.3,8.7,8
,,,2013-09-22,26.3,13.0,10
,,,2013-09-24,27.2,9.3,11
Très nuageux,,,2013-09-25,26.6,12.6,4
,Eclaircies,,2013-09-26,25.0,13.4,3
,,,2013-09-27,27.2,14.9,7
Très nuageux,Très nuageux,Très nuageux,2013-09-28,23.6,17.1,0
Très nuageux,Très nuageux,Très nuageux,2013-09-29,22.2,15.8,1
Très nuageux,Très nuageux,Rares averses,2013-01-10,12.0,8.0,0
Bruine,Bruine,Très nuageux,2013-02-10,11.2,4.9,0
Très nuageux,Très nuageux,Très nuageux,2013-03-10,13.5,6.1,1
Bruine,Bruine,Bruine,2013-04-10,12.9,6.7,0
Très nuageux,Très nuageux,Très nuageux,2013-05-10,16.8,8.7,1
Très nuageux,Très nuageux,Eclaircies,2013-06-10,20.3,12.0,3
Eclaircies,,,2013-09-10,20.5,9.1,9
,Très nuageux,,2013-10-10,14.7,7.9,6
Très nuageux,Très nuageux,Très nuageux,2013-11-10,13.3,8.9,2
Brouillard givrant,,,2013-12-10,7.6,4.0,6
,Très nuageux,,2013-10-13,15.7,2.7,7
Bruine,Bruine,Très nuageux,2013-10-15,16.2,10.8,0
Rares averses,Très nuageux,,2013-10-16,21.0,13.2,4
Très nuageux,,Eclaircies,2013-10-17,19.6,11.6,4
Très nuageux,,,2013-10-18,20.1,10.1,5
Très nuageux,Très nuageux,,2013-10-19,19.1,12.9,3
Très nuageux,Bruine,Très nuageux,2013-10-20,17.6,13.0,1
Très nuageux,Très nuageux,Très nuageux,2013-10-22,20.8,15.3,2
Très nuageux,Très nuageux,Très nuageux,2013-10-23,19.9,13.9,5
Très nuageux,,Très nuageux,2013-10-24,18.3,11.0,2
,Très nuageux,,2013-10-25,20.4,15.0,4
Très nuageux,Eclaircies,Très nuageux,2013-10-26,19.6,12.6,3
Très nuageux,Très nuageux,Bruine,2013-10-27,17.0,12.5,2
,,,2013-10-29,14.4,6.4,9
Très nuageux,,Très nuageux,2013-10-30,15.6,3.2,6
Très nuageux,Bruine,Bruine,2013-10-31,13.7,8.3,1
,Très nuageux,,2013-02-11,10.2,0.6,6
Très nuageux,Très nuageux,Pluie forte,2013-03-11,10.8,1.5,0
Très nuageux,Très nuageux,Très nuageux,2013-05-11,15.4,9.2,4
Très nuageux,Très nuageux,Très nuageux,2013-06-11,18.0,13.6,0
Très nuageux,,,2013-07-11,25.1,14.0,9
Très nuageux,,,2013-08-11,25.8,15.1,7
,Très nuageux,Très nuageux,2013-09-11,19.2,9.1,2
Rares averses,Très nuageux,,2013-10-11,14.5,7.1,3
,,,2013-12-11,8.4,1.3,7
,,,2013-11-13,11.8,5.0,8
Très nuageux,Très nuageux,,2013-11-14,11.1,2.2,4
,Très nuageux,Bruine,2013-11-15,10.5,3.7,4
,,,2013-11-16,9.8,2.4,8
Très nuageux,Eclaircies,Très nuageux,2013-11-17,8.2,3.9,3
,Bruine,Très nuageux,2013-11-19,7.6,1.5,3
Très nuageux,Très nuageux,Bruine,2013-11-20,8.7,0.4,0
Très nuageux,Bruine,Très nuageux,2013-11-21,7.9,2.8,2
Très nuageux,Très nuageux,Très nuageux,2013-11-22,8.3,3.0,2
Très nuageux,Très nuageux,Très nuageux,2013-11-23,8.9,5.1,2
Très nuageux,Très nuageux,Très nuageux,2013-11-24,9.7,5.1,0
Eclaircies,Très nuageux,Très nuageux,2013-11-26,9.5,3.8,1
Très nuageux,Très nuageux,Très nuageux,2013-11-27,9.2,2.1,1
,Très nuageux,Très nuageux,2013-11-28,6.8,1.0,2
,Très nuageux,Très nuageux,2013-11-29,9.6,2.7,0
,,Très nuageux,2013-11-30,9.8,4.6,4
Très nuageux,,Eclaircies,2013-01-12,10.3,5.0,4
Très nuageux,Très nuageux,Neige,2013-03-12,1.9,1.3,0
Très nuageux,Très nuageux,,2013-04-12,15.9,9.3,5
Très nuageux,Très nuageux,Très nuageux,2013-05-12,16.1,6.6,4
